Id,Time[ns],SD card (SD mode): Raw bits,SD card (SD mode): Decoded bits,SD card (SD mode): Decoded fields,SD card (SD mode): Fields,SD card (SD mode): Commands
184,1866591288.00,0,,,,
185,1866591304.00,0,,,CRC: 0x0,
186,1866591328.00,0,,,,
187,1866591368.00,0,,,,
188,1866591408.00,0,,,,
189,1866591448.00,0,,,,
190,1866591472.00,0,,,,
191,1866591512.00,0,,,,
192,1866591528.00,0,,,End bit,
193,1866591592.00,0,,,Start bit,Response: R1
194,1866591632.00,0,,,Transmission: card,
195,1866591672.00,0,,,Command: GO_IDLE_STATE (0),
196,1866591696.00,0,,,,
197,1866591712.00,0,,,,
198,1866591736.00,0,,,,
199,1866591776.00,0,,,,
200,1866591816.00,0,,,,
201,1866591920.00,0,OUT_OF_RANGE,Card status,Argument: 0x00000000,
202,1866591936.00,0,ADDRESS_ERROR,,,
203,1866592144.00,0,BLOCK_LEN_ERROR,,,
204,1866592160.00,0,ERASE_SEQ_ERROR,,,
205,1866592184.00,0,ERASE_PARAM,,,
206,1866592224.00,0,WP_VIOLATION,,,
207,1866592264.00,0,CARD_IS_LOCKED,,,
208,1866592304.00,0,LOCK_UNLOCK_FAILED,,,
209,1866592328.00,0,COM_CRC_ERROR,,,
210,1866592344.00,0,ILLEGAL_COMMAND,,,
211,1866592368.00,0,CARD_ECC_FAILED,,,
212,1866592408.00,0,CC_ERROR,,,
213,1866592448.00,0,ERROR,,,
214,1866592488.00,0,Reserved,,,
215,1866592528.00,0,Reserved for DEFERRED_RESPONSE,,,
216,1866592568.00,0,CSD_OVERWRITE,,,
217,1866592592.00,0,WP_ERASE_SKIP,,,
218,1866592632.00,0,CARD_ECC_DISABLED,,,
219,1866592672.00,0,ERASE_RESET,,,
220,1866592752.00,0,CURRENT_STATE,,,
221,1866592816.00,0,,,,
222,1866592832.00,0,,,,
223,1866592856.00,0,,,,
224,1866592896.00,0,READY_FOR_DATA,,,
225,1866592936.00,0,RSVD,,,
226,1866592976.00,0,FX_EVENT,,,
227,1866630760.00,0,APP_CMD,,,
228,1866630800.00,0,Reserved for SDIO card,,,
229,1866630824.00,0,AKE_SEQ_ERROR,,,
230,1866630864.00,0,Reserved for application specific commands,,,
231,1866630880.00,0,Reserved for manufacturer test mode,,,
232,1866630904.00,0,,,,
233,1866630920.00,0,,,CRC: 0x0,
234,1866630944.00,0,,,,
235,1866630984.00,0,,,,
236,1866631024.00,0,,,,
237,1866631048.00,0,,,,
238,1866631064.00,0,,,,
239,1866631088.00,0,,,,
240,1866631104.00,0,,,End bit,
