Id,Time[ns],SD card (SD mode): Raw bits,SD card (SD mode): Decoded bits,SD card (SD mode): Decoded fields,SD card (SD mode): Fields,SD card (SD mode): Commands
171,220260448.00,0,ERASE_RESET,,,
172,220260488.00,0,CURRENT_STATE,,,
173,220260528.00,0,,,,
174,220260568.00,0,,,,
175,220260608.00,0,,,,
176,220260632.00,0,READY_FOR_DATA,,,
177,220260648.00,0,RSVD,,,
178,220260672.00,0,FX_EVENT,,,
179,220260688.00,0,APP_CMD,,,
180,220260712.00,0,Reserved for SDIO card,,,
181,220260752.00,0,AKE_SEQ_ERROR,,,
182,220260792.00,0,Reserved for application specific commands,,,
183,220260832.00,0,Reserved for manufacturer test mode,,,
184,220260936.00,0,,,,
185,220260952.00,0,,,CRC: 0x0,
186,220261176.00,0,,,,
187,220261200.00,0,,,,
188,220261216.00,0,,,,
189,220261280.00,0,,,,
190,220261320.00,0,,,,
191,220261360.00,0,,,,
192,220261400.00,0,,,End bit,
193,248142272.00,0,,,Start bit,CMD32 (ERASE_WR_BLK_START): CMD32
194,248142296.00,1,,,Transmission: host,
195,248142312.00,1,,,Command: ERASE_WR_BLK_START (32),
196,248142336.00,0,,,,
197,248142376.00,0,,,,
198,248142416.00,0,,,,
199,248142456.00,0,,,,
200,248142480.00,0,,,,
201,248142496.00,0,,,Argument: 0x00000000,
202,248142520.00,0,,,,
203,248142536.00,0,,,,
204,248142560.00,0,,,,
205,248142600.00,0,,,,
206,248142640.00,0,,,,
207,248142664.00,0,,,,
208,248142680.00,0,,,,
209,248142704.00,0,,,,
210,248142720.00,0,,,,
211,248142744.00,0,,,,
212,248142760.00,0,,,,
213,248142784.00,0,,,,
214,248142824.00,0,,,,
215,248142864.00,0,,,,
216,248142888.00,0,,,,
217,248142904.00,0,,,,
218,248142928.00,0,,,,
219,248142968.00,0,,,,
220,248143008.00,0,,,,
221,248143048.00,0,,,,
222,248143112.00,0,,,,
223,248143128.00,0,,,,
224,248143152.00,0,,,,
225,248143192.00,0,,,,
226,248143232.00,0,,,,
227,248143256.00,0,,,,
228,248143272.00,0,,,,
229,248596800.00,0,,,,
230,248596840.00,0,,,,
231,248596880.00,0,,,,
232,248596904.00,0,,,,
233,248596944.00,0,,,CRC: 0x0,
234,248596960.00,0,,,,
235,248596984.00,0,,,,
236,248597000.00,0,,,,
237,248597024.00,0,,,,
238,248597064.00,0,,,,
239,248597104.00,0,,,,
240,248597144.00,0,,,End bit,
241,248597184.00,0,,,Start bit,Response: R1
242,248597208.00,0,,,Transmission: card,
243,248597224.00,0,,,Command: GO_IDLE_STATE (0),
244,248597248.00,0,,,,
245,248597288.00,0,,,,
246,248597328.00,0,,,,
247,248597368.00,0,,,,
248,248597432.00,0,,,,
249,248597448.00,0,OUT_OF_RANGE,Card status,Argument: 0x00000000,
250,248597472.00,0,ADDRESS_ERROR,,,
251,248597512.00,0,BLOCK_LEN_ERROR,,,
252,248597552.00,0,ERASE_SEQ_ERROR,,,
253,248597592.00,0,ERASE_PARAM,,,
254,248597696.00,0,WP_VIOLATION,,,
255,248597712.00,0,CARD_IS_LOCKED,,,
256,248597936.00,0,LOCK_UNLOCK_FAILED,,,
257,248597960.00,0,COM_CRC_ERROR,,,
258,248598000.00,0,ILLEGAL_COMMAND,,,
259,248598016.00,0,CARD_ECC_FAILED,,,
260,248598040.00,0,CC_ERROR,,,
261,248598080.00,0,ERROR,,,
262,248598120.00,0,Reserved,,,
263,248598160.00,0,Reserved for DEFERRED_RESPONSE,,,
264,248598200.00,0,CSD_OVERWRITE,,,
265,248598240.00,0,WP_ERASE_SKIP,,,
266,248598264.00,0,CARD_ECC_DISABLED,,,
267,248598280.00,0,ERASE_RESET,,,
268,248598304.00,0,CURRENT_STATE,,,
269,248598344.00,0,,,,
270,248598384.00,0,,,,
271,248598424.00,0,,,,
272,248598464.00,0,READY_FOR_DATA,,,
273,248598568.00,0,RSVD,,,
274,248598608.00,0,FX_EVENT,,,
275,248598648.00,0,APP_CMD,,,
276,248598688.00,0,Reserved for SDIO card,,,
277,248598832.00,0,AKE_SEQ_ERROR,,,
278,248599136.00,0,Reserved for application specific commands,,,
279,248601000.00,0,Reserved for manufacturer test mode,,,
280,248602600.00,0,,,,
281,248604056.00,0,,,CRC: 0x0,
282,248604824.00,0,,,,
283,248604864.00,0,,,,
284,248606400.00,0,,,,
285,248607168.00,0,,,,
286,248607592.00,0,,,,
287,248609008.00,0,,,,
288,248609696.00,0,,,End bit,
289,344067648.00,0,,,Start bit,CMD32 (ERASE_WR_BLK_START): CMD32
290,344067688.00,1,,,Transmission: host,
291,344067728.00,1,,,Command: ERASE_WR_BLK_START (32),
292,344067768.00,0,,,,
293,344067792.00,0,,,,
294,344067808.00,0,,,,
295,344067832.00,0,,,,
296,344067848.00,0,,,,
297,344067872.00,1,,,Argument: 0x80000000,
298,344067912.00,0,,,,
299,344067928.00,0,,,,
300,344067952.00,0,,,,
301,344067992.00,0,,,,
302,344068016.00,0,,,,
303,344068032.00,0,,,,
304,344068056.00,0,,,,
305,344068072.00,0,,,,
306,344068096.00,0,,,,
307,344068112.00,0,,,,
308,344068136.00,0,,,,
309,344068152.00,0,,,,
310,344068176.00,0,,,,
311,344068216.00,0,,,,
312,344068256.00,0,,,,
313,344068296.00,0,,,,
314,344068320.00,0,,,,
315,344068336.00,0,,,,
316,344068360.00,0,,,,
